Function Name;Module;Source Info;Time Average (%);Time Min(s) [TID];Time Max(s) [TID];Time Average(s);
__ieee754_exp_fma;libm-2.27.so;;80.14;6.78 [1083];6.78 [1083];6.78;
exp;libm-2.27.so;;6.86;0.58 [1083];0.58 [1083];0.58;
baseline;binary;;5.44;0.46 [1083];0.46 [1083];0.46;
@plt;libm-2.27.so;;1.89;0.16 [1083];0.16 [1083];0.16;
@plt_start@;binary;;1.89;0.16 [1083];0.16 [1083];0.16;
__truncf_c;libm-2.27.so;;1.65;0.14 [1083];0.14 [1083];0.14;
lgamma;libm-2.27.so;;1.65;0.14 [1083];0.14 [1083];0.14;
hrtimer_active;SYSTEM CALL;;0.24;0.02 [1083];0.02 [1083];0.02;
random_r;libc-2.27.so;;0.24;0.02 [1083];0.02 [1083];0.02;
